id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
521,Dave Budd,buddda01,1961,1965,F,6-6,205,"October 28, 1938",Wake Forest University,0,Right,New York Knicks,"2nd round (2nd pick,10th overall)",1960 NBA Draft
522,Chase Budinger,budinch01,2010,2016,F,6-7,209,"May 22, 1988",University of Arizona,0,Right,Detroit Pistons,"2nd round (14th pick,44th overall)",2009 NBA Draft
523,Walt Budko,budkowa01,1949,1952,F-C,6-5,220,"July 30, 1925",Columbia University,0,Right,Baltimore Bullets,"1st round (6th pick,6th overall)",1948 BAA Draft
524,Jud Buechler,buechju01,1991,2002,F-G,6-6,220,"June 19, 1968",University of Arizona,0,Right,Seattle SuperSonics,"2nd round (11th pick,38th overall)",1990 NBA Draft
525,Rodney Buford,buforro01,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton University,0,Right,Miami Heat,"2nd round (24th pick,53rd overall)",1999 NBA Draft
526,Matt Bullard,bullama01,1991,2002,F,6-10,215,"June 5, 1967",University of Iowa,0,Right,,,
527,Reggie Bullock,bullore01,2014,2017,G-F,6-7,205,"March 16, 1991",University of North Carolina,1,Right,Los Angeles Clippers,"1st round (25th pick,25th overall)",2013 NBA Draft
528,Larry Bunce,buncela01,1968,1969,C,7-0,240,"July 29, 1945",Utah State University,0,Right,Seattle SuperSonics,"4th round (12th pick,43rd overall)",1967 NBA Draft
529,Greg Bunch,bunchgr01,1979,1979,F,6-6,190,"May 15, 1956","California State University, Fullerton",0,Right,New York Knicks,"2nd round (12th pick,34th overall)",1978 NBA Draft
530,Dick Bunt,buntdi01,1953,1953,G,6-0,170,"July 13, 1930",New York University,0,Right,New York Knicks,,
531,Bill Buntin,buntibi01,1966,1966,C-F,6-7,250,"May 5, 1942",University of Michigan,0,Right,Detroit Pistons,,
532,Bill Bunting,buntibi02,1970,1972,F-C,6-8,200,"August 26, 1947",University of North Carolina,0,Right,New York Knicks,"2nd round (11th pick,26th overall)",1969 NBA Draft
533,Ticky Burden,burdeti01,1976,1978,G,6-2,185,"February 28, 1953",University of Utah,0,Right,New York Knicks,"2nd round (8th pick,26th overall)",1975 NBA Draft
534,Pat Burke,burkepa01,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn University,0,Left,,,
535,Trey Burke,burketr01,2014,2017,G,6-1,191,"November 12, 1992",University of Michigan,1,Right,Minnesota Timberwolves,"1st round (9th pick,9th overall)",2013 NBA Draft
536,Roger Burkman,burkmro01,1982,1982,G,6-5,175,"May 22, 1958",University of Louisville,0,Right,Chicago Bulls,"6th round (15th pick,130th overall)",1981 NBA Draft
537,Alec Burks,burksal01,2012,2017,G,6-6,214,"July 20, 1991",University of Colorado,1,Right,Utah Jazz,"1st round (12th pick,12th overall)",2011 NBA Draft
538,Antonio Burks,burksan01,2005,2006,G,6-1,200,"February 25, 1980",University of Memphis,0,Right,Orlando Magic,"2nd round (7th pick,36th overall)",2004 NBA Draft
539,Kevin Burleson,burleke01,2006,2006,G,6-3,205,"April 9, 1979",University of Minnesota,0,Right,,,
540,Tom Burleson,burleto01,1975,1981,C,7-2,225,"February 24, 1952",North Carolina State University,0,Right,Seattle SuperSonics,"1st round (3rd pick,3rd overall)",1974 NBA Draft
541,Jack Burmaster,burmaja01,1950,1950,G,6-3,190,"December 23, 1926",University of Illinois at Urbana-Champaign,0,Right,St. Louis Bombers,,
542,David Burns,burnsda01,1982,1982,G,6-2,180,"July 3, 1958",Saint Louis University,0,Right,New Jersey Nets,"3rd round (3rd pick,49th overall)",1981 NBA Draft
543,Evers Burns,burnsev01,1994,1994,F,6-8,260,"August 24, 1971",University of Maryland,0,Right,Sacramento Kings,"2nd round (4th pick,31st overall)",1993 NBA Draft
544,Jim Burns,burnsji01,1968,1968,G,6-3,195,"September 21, 1945",Northwestern University,0,Right,Chicago Bulls,"4th round (3rd pick,34th overall)",1967 NBA Draft
545,Scott Burrell,burresc01,1994,2001,G-F,6-7,218,"January 12, 1971",University of Connecticut,0,Right,Charlotte Hornets,"1st round (20th pick,20th overall)",1993 NBA Draft
546,Art Burris,burriar01,1951,1952,F,6-5,220,"April 7, 1924",University of Tennessee,0,Right,Fort Wayne Pistons,3rd round,1950 NBA Draft
547,Junior Burrough,burroju01,1996,1996,F,6-8,242,"January 18, 1973",University of Virginia,0,Right,Boston Celtics,"2nd round (4th pick,33rd overall)",1995 NBA Draft
548,Bob Burrow,burrobo01,1957,1958,C-F,6-7,228,"June 29, 1934",University of Kentucky,0,Right,Rochester Royals,,
549,Ed Burton,burtoed01,1962,1965,F,6-6,225,"August 13, 1939",Michigan State University,0,Right,,,
550,Willie Burton,burtowi01,1991,1999,F-G,6-8,210,"May 26, 1968",University of Minnesota,0,Right,Miami Heat,"1st round (9th pick,9th overall)",1990 NBA Draft
551,Steve Burtt,burttst01,1985,1993,G,6-2,185,"November 5, 1962",Iona College,0,Right,Golden State Warriors,"2nd round (6th pick,30th overall)",1984 NBA Draft
552,Don Buse,busedo01,1973,1985,G,6-4,190,"August 10, 1950",University of Evansville,0,Right,Phoenix Suns,"3rd round (4th pick,34th overall)",1972 NBA Draft
553,David Bustion,bustida01,1973,1973,F,6-8,215,"August 30, 1949",University of Denver,0,Right,Kansas City-Omaha Kings,"5th round (5th pick,68th overall)",1972 NBA Draft
554,Donnie Butcher,butchdo01,1962,1966,G,6-2,200,"February 8, 1936",Pikeville College,0,Right,New York Knicks,"7th round (1st pick,60th overall)",1961 NBA Draft
555,Al Butler,butleal01,1962,1965,G,6-2,175,"July 9, 1938",Niagara University,0,Right,Boston Celtics,"2nd round (8th pick,17th overall)",1961 NBA Draft
556,Caron Butler,butleca01,2003,2016,F,6-7,228,"March 13, 1980",University of Connecticut,0,Right,Miami Heat,"1st round (10th pick,10th overall)",2002 NBA Draft
557,Greg Butler,butlegr01,1989,1991,C,6-11,240,"March 11, 1966",Stanford University,0,Right,New York Knicks,"2nd round (12th pick,37th overall)",1988 NBA Draft
558,Jackie Butler,butleja01,2005,2007,F-C,6-10,250,"March 10, 1985",,0,Right,,,
559,Jimmy Butler,butleji01,2012,2017,G-F,6-7,220,"September 14, 1989",Marquette University,1,Right,Chicago Bulls,"1st round (30th pick,30th overall)",2011 NBA Draft
560,Mike Butler,butlemi01,1969,1972,G,6-2,170,"October 22, 1946",University of Memphis,0,Right,San Diego Rockets,"10th round (1st pick,121st overall)",1968 NBA Draft
561,Mitchell Butler,butlemi02,1994,2004,G-F,6-5,210,"December 15, 1970","University of California, Los Angeles",0,Right,,,
562,Rasual Butler,butlera01,2003,2016,F-G,6-7,215,"May 23, 1979",La Salle University,0,Right,Miami Heat,"2nd round (24th pick,53rd overall)",2002 NBA Draft
563,Dwight Buycks,buyckdw01,2014,2015,G,6-3,190,"March 6, 1989",Marquette University,1,Right,,,
564,Derrick Byars,byarsde01,2012,2012,F,6-7,220,"April 25, 1984",Vanderbilt University,0,Right,Portland Trail Blazers,"2nd round (12th pick,42nd overall)",2007 NBA Draft
565,Andrew Bynum,bynuman01,2006,2014,C,7-0,285,"October 27, 1987",,0,Right,Los Angeles Lakers,"1st round (10th pick,10th overall)",2005 NBA Draft
566,Will Bynum,bynumwi01,2006,2015,G,6-0,185,"January 4, 1983",Georgia Institute of Technology,0,Right,,,
567,Walter Byrd,byrdwa01,1970,1970,F,6-7,205,,Temple University,0,Right,,,
568,Marty Byrnes,byrnema01,1979,1983,F,6-7,215,"April 30, 1956",Syracuse University,0,Right,Phoenix Suns,"1st round (19th pick,19th overall)",1978 NBA Draft
569,Tommy Byrnes,byrneto01,1947,1951,F-G,6-3,175,"February 19, 1923",Seton Hall University,0,Right,,,
570,Michael Bytzura,bytzumi01,1947,1947,F,6-1,170,"June 18, 1922",Long Island University,0,Right,,,
571,Zarko Cabarkapa,cabarza01,2004,2006,F,6-11,235,"May 21, 1981",,0,Right,Phoenix Suns,"1st round (17th pick,17th overall)",2003 NBA Draft
572,Barney Cable,cableba01,1959,1964,F,6-7,175,"July 29, 1935",Bradley University,0,Right,Detroit Pistons,"2nd round (3rd pick,10th overall)",1958 NBA Draft
573,Bruno Caboclo,cabocbr01,2015,2017,F,6-9,218,"September 21, 1995",,1,Right,Toronto Raptors,"1st round (20th pick,20th overall)",2014 NBA Draft
574,Jason Caffey,caffeja01,1996,2003,F,6-8,255,"June 12, 1973",University of Alabama,0,Right,Chicago Bulls,"1st round (20th pick,20th overall)",1995 NBA Draft
575,Michael Cage,cagemi01,1985,2000,F-C,6-9,224,"January 28, 1962",San Diego State University,0,Left,Los Angeles Clippers,"1st round (14th pick,14th overall)",1984 NBA Draft
576,Gerry Calabrese,calabge01,1951,1952,G,6-1,175,"February 4, 1925",St. John's University,0,Right,Syracuse Nationals,2nd round,1950 NBA Draft
577,Nick Calathes,calatni01,2014,2015,G,6-6,213,"February 7, 1989",University of Florida,0,Right,Minnesota Timberwolves,"2nd round (15th pick,45th overall)",2009 NBA Draft
578,Jose Calderon,caldejo01,2006,2017,G,6-3,200,"September 28, 1981",,1,Right,,,
579,Adrian Caldwell,caldwad01,1990,1998,F-C,6-8,265,"July 4, 1966",Lamar University,0,Left,,,
580,Jim Caldwell,caldwji01,1968,1969,C,6-10,240,"January 28, 1943",Georgia Institute of Technology,0,Right,Los Angeles Lakers,"3rd round (8th pick,25th overall)",1965 NBA Draft
581,Joe Caldwell,caldwjo01,1965,1975,F-G,6-5,195,"November 1, 1941",Arizona State University,0,Right,Detroit Pistons,"1st round (2nd pick,2nd overall)",1964 NBA Draft
582,Kentavious Caldwell-Pope,caldwke01,2014,2017,G,6-5,205,"February 18, 1993",University of Georgia,1,Right,Detroit Pistons,"1st round (8th pick,8th overall)",2013 NBA Draft
583,Bill Calhoun,calhobi01,1949,1955,F-G,6-3,180,"November 4, 1927",City College of San Francisco,0,Right,,,
584,Corky Calhoun,calhoco01,1973,1980,F,6-7,210,"November 1, 1950",University of Pennsylvania,0,Right,Phoenix Suns,"1st round (4th pick,4th overall)",1972 NBA Draft
585,Demetrius Calip,calipde01,1992,1992,G,6-1,165,"November 18, 1969",University of Michigan,0,Right,,,
586,Tom Callahan,callato01,1947,1947,G,6-1,180,"June 2, 1921",Rockhurst University,0,Right,,,
587,Rick Calloway,callori01,1991,1991,F,6-6,180,"December 12, 1966",University of Kansas,0,Right,,,
588,Ernie Calverley,calveer01,1947,1949,G,5-10,145,"January 30, 1924",University of Rhode Island,0,Right,,,
589,Mack Calvin,calvima01,1970,1981,G,6-0,165,"July 27, 1947",University of Southern California,0,Right,Los Angeles Lakers,"14th round (8th pick,187th overall)",1969 NBA Draft
590,Dexter Cambridge,cambrde01,1993,1993,F,6-7,224,"January 29, 1970",University of Texas at Austin,0,Right,,,
591,Marcus Camby,cambyma01,1997,2013,C-F,6-11,220,"March 22, 1974",University of Massachusetts Amherst,0,Right,Toronto Raptors,"1st round (2nd pick,2nd overall)",1996 NBA Draft
592,Elden Campbell,campbel01,1991,2005,C,6-11,215,"July 23, 1968",Clemson University,0,Right,Los Angeles Lakers,"1st round (27th pick,27th overall)",1990 NBA Draft
593,Tony Campbell,campbto01,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State University,0,Right,Detroit Pistons,"1st round (20th pick,20th overall)",1984 NBA Draft
594,Isaiah Canaan,canaais01,2014,2017,G,6-0,201,"May 21, 1991",Murray State University,1,Right,Houston Rockets,"2nd round (4th pick,34th overall)",2013 NBA Draft
595,Larry Cannon,cannola01,1970,1974,G,6-4,195,"April 12, 1947",La Salle University,0,Right,Chicago Bulls,"1st round (5th pick,5th overall)",1969 NBA Draft
596,Clint Capela,capelca01,2015,2017,F-C,6-10,240,"May 18, 1994",,1,Right,Houston Rockets,"1st round (25th pick,25th overall)",2014 NBA Draft
597,Derrick Caracter,caracde01,2011,2011,F,6-9,275,"May 4, 1988",University of Texas at El Paso,0,Right,Los Angeles Lakers,"2nd round (28th pick,58th overall)",2010 NBA Draft
598,Frank Card,cardfr01,1969,1973,F,6-7,195,"December 28, 1944",South Carolina State University,0,Right,Philadelphia 76ers,"7th round (10th pick,77th overall)",1967 NBA Draft
599,Brian Cardinal,cardibr01,2001,2012,F,6-8,245,"May 2, 1977",Purdue University,0,Right,Detroit Pistons,"2nd round (15th pick,44th overall)",2000 NBA Draft
600,Howie Carl,carlho01,1962,1962,G,5-9,160,"June 7, 1938",DePaul University,0,Right,Chicago Packers,"5th round (9th pick,50th overall)",1961 NBA Draft
601,Chet Carlisle,carlich01,1947,1947,F-C,6-5,195,"November 2, 1916",University of California,0,Right,,,
602,Geno Carlisle,carlige01,2005,2005,G,6-3,180,"August 13, 1976",University of California,0,Right,,,
603,Rick Carlisle,carliri01,1985,1990,G,6-5,210,"October 27, 1959",University of Virginia,0,Right,Boston Celtics,"3rd round (23rd pick,70th overall)",1984 NBA Draft
604,Don Carlos,carlodo01,1969,1969,G-F,6-5,210,"March 3, 1944",Otterbein College,0,Right,Los Angeles Lakers,"8th round (4th pick,83rd overall)",1967 NBA Draft
605,Al Carlson,carlsal01,1976,1976,C,6-11,235,"September 17, 1951",University of Oregon,0,Right,,,
606,Don Carlson,carlsdo01,1947,1951,G-F,6-0,170,"March 22, 1919",University of Minnesota,0,Right,,,
607,Bob Carney,carnebo01,1955,1955,G,6-3,170,"August 3, 1932",Bradley University,0,Right,Milwaukee Hawks,"6th round (2nd pick,47th overall)",1954 NBA Draft
608,Rodney Carney,carnero01,2007,2011,F,6-7,205,"April 15, 1984",University of Memphis,0,Right,Chicago Bulls,"1st round (16th pick,16th overall)",2006 NBA Draft
609,Bob Carpenter,carpebo01,1950,1951,F-C,6-5,200,"November 6, 1917",East Texas State University,0,Left,,,
610,Antoine Carr,carran01,1985,2000,F-C,6-9,225,"July 23, 1961",Wichita State University,0,Right,Detroit Pistons,"1st round (8th pick,8th overall)",1983 NBA Draft
611,Austin Carr,carrau01,1972,1981,G,6-4,200,"March 10, 1948",University of Notre Dame,0,Right,Cleveland Cavaliers,"1st round (1st pick,1st overall)",1971 NBA Draft
612,Chris Carr,carrch01,1996,2001,G,6-5,207,"March 12, 1974",Southern Illinois University,0,Right,Phoenix Suns,"2nd round (27th pick,56th overall)",1995 NBA Draft
613,Cory Carr,carrco01,1999,1999,G,6-3,210,"December 5, 1975",Texas Tech University,0,Right,Atlanta Hawks,"2nd round (20th pick,49th overall)",1998 NBA Draft
614,Kenny Carr,carrke01,1978,1987,F,6-7,220,"August 15, 1955",North Carolina State University,0,Right,Los Angeles Lakers,"1st round (6th pick,6th overall)",1977 NBA Draft
615,M.L. Carr,carrml01,1976,1985,F-G,6-6,205,"January 9, 1951",Guilford College,0,Right,Kansas City-Omaha Kings,"5th round (7th pick,76th overall)",1973 NBA Draft
616,Darel Carrier,carrida01,1968,1973,G,6-3,185,"October 26, 1940",Western Kentucky University,0,Right,St. Louis Hawks,"9th round (4th pick,74th overall)",1964 NBA Draft
617,Bob Carrington,carribo01,1978,1980,G-F,6-6,195,"July 3, 1953",Boston College,0,Right,Atlanta Hawks,"2nd round (11th pick,28th overall)",1976 NBA Draft
618,DeMarre Carroll,carrode01,2010,2017,F,6-8,215,"July 27, 1986",University of Missouri,1,Right,Memphis Grizzlies,"1st round (27th pick,27th overall)",2009 NBA Draft
619,Joe Barry Carroll,carrojo01,1981,1991,C-F,7-0,225,"July 24, 1958",Purdue University,0,Right,Golden State Warriors,"1st round (1st pick,1st overall)",1980 NBA Draft
620,Matt Carroll,carroma01,2004,2013,G,6-6,212,"August 28, 1980",University of Notre Dame,0,Right,,,
621,Jimmy Carruth,carruji01,1997,1997,C-F,6-10,265,"November 4, 1969",Virginia Polytechnic Institute and State University,0,Right,,,
622,Anthony Carter,cartean01,2000,2012,G,6-1,190,"June 16, 1975",University of Hawaii,0,Right,,,
623,Butch Carter,cartebu01,1981,1986,G,6-5,180,"June 11, 1958",Indiana University,0,Right,Los Angeles Lakers,"2nd round (14th pick,37th overall)",1980 NBA Draft
624,Fred Carter,cartefr01,1970,1977,G-F,6-3,185,"February 14, 1945",Mount St. Mary's University,0,Right,Baltimore Bullets,"3rd round (14th pick,43rd overall)",1969 NBA Draft
625,George Carter,cartege01,1968,1976,F-G,6-4,210,"January 10, 1944",St. Bonaventure University,0,Right,Detroit Pistons,"8th round (2nd pick,81st overall)",1967 NBA Draft
626,Howard Carter,carteho01,1984,1985,G,6-5,215,"October 26, 1961",Louisiana State University,0,Right,Denver Nuggets,"1st round (15th pick,15th overall)",1983 NBA Draft
627,Jake Carter,carteja01,1950,1950,F-C,6-4,195,"July 25, 1924",East Texas State University,0,Right,Baltimore Bullets,,
628,Maurice Carter,cartema01,2004,2004,G,6-5,210,"October 12, 1976",Louisiana State University,0,Left,,,
629,Reggie Carter,cartere01,1981,1982,G,6-3,175,"October 10, 1957",St. John's University,0,Right,New York Knicks,"2nd round (5th pick,27th overall)",1979 NBA Draft
630,Ron Carter,cartero01,1979,1980,G,6-5,190,"August 31, 1956",Virginia Military Institute,0,Right,Los Angeles Lakers,"2nd round (4th pick,26th overall)",1978 NBA Draft
631,Vince Carter,cartevi01,1999,2017,G-F,6-6,220,"January 26, 1977",University of North Carolina,1,Right,Golden State Warriors,"1st round (5th pick,5th overall)",1998 NBA Draft
632,Michael Carter-Williams,cartemi01,2014,2017,G,6-6,190,"October 10, 1991",Syracuse University,1,Right,Philadelphia 76ers,"1st round (11th pick,11th overall)",2013 NBA Draft
633,Bill Cartwright,cartwbi01,1980,1995,C,7-1,245,"July 30, 1957",University of San Francisco,0,Right,New York Knicks,"1st round (3rd pick,3rd overall)",1979 NBA Draft
634,Jay Carty,cartyja01,1969,1969,F,6-8,220,"July 4, 1941",Oregon State University,0,Right,St. Louis Hawks,"6th round (3rd pick,46th overall)",1962 NBA Draft
635,Cornelius Cash,cashco01,1977,1977,F,6-8,215,"March 3, 1952",Bowling Green State University,0,Right,Milwaukee Bucks,"2nd round (6th pick,24th overall)",1975 NBA Draft
636,Sam Cash,cashsa01,1973,1973,F,6-8,230,"November 13, 1950","University of California, Riverside",0,Right,Cleveland Cavaliers,"5th round (3rd pick,66th overall)",1972 NBA Draft
637,Sam Cassell,cassesa01,1994,2008,G,6-3,185,"November 18, 1969",Florida State University,0,Right,Houston Rockets,"1st round (24th pick,24th overall)",1993 NBA Draft
638,Omri Casspi,casspom01,2010,2017,F,6-9,225,"June 22, 1988",,1,Right,Sacramento Kings,"1st round (23rd pick,23rd overall)",2009 NBA Draft
639,Harvey Catchings,catchha01,1975,1985,C-F,6-9,218,"September 2, 1951",Hardin-Simmons University,0,Right,Philadelphia 76ers,"3rd round (6th pick,42nd overall)",1974 NBA Draft
640,Terry Catledge,catlete01,1986,1993,F,6-8,220,"August 22, 1963",University of South Alabama,0,Right,Philadelphia 76ers,"1st round (21st pick,21st overall)",1985 NBA Draft
641,Sid Catlett,catlesi01,1972,1972,F,6-6,230,"April 18, 1948",University of Notre Dame,0,Right,Cincinnati Royals,"4th round (4th pick,55th overall)",1971 NBA Draft
642,Kelvin Cato,catoke01,1998,2007,C,6-11,255,"August 26, 1974",Iowa State University,0,Right,Dallas Mavericks,"1st round (15th pick,15th overall)",1997 NBA Draft
643,Bobby Cattage,cattabo01,1982,1986,F,6-9,250,"August 17, 1958",Auburn University,0,Right,Utah Jazz,"8th round (4th pick,165th overall)",1981 NBA Draft
644,Willie Cauley-Stein,caulewi01,2016,2017,F-C,7-0,240,"August 18, 1993",University of Kentucky,1,Right,Sacramento Kings,"1st round (6th pick,6th overall)",2015 NBA Draft
645,Duane Causwell,causwdu01,1991,2001,C,7-0,240,"May 31, 1968",Temple University,0,Right,Sacramento Kings,"1st round (18th pick,18th overall)",1990 NBA Draft
646,Ron Cavenall,cavenro01,1985,1989,C,7-1,230,"April 30, 1959",Texas Southern University,0,Right,,,
647,Cedric Ceballos,cebalce01,1991,2001,F,6-6,190,"August 2, 1969","California State University, Fullerton",0,Right,Phoenix Suns,"2nd round (21st pick,48th overall)",1990 NBA Draft
648,John Celestand,celesjo01,2000,2000,G,6-4,178,"March 6, 1977",Villanova University,0,Right,Los Angeles Lakers,"2nd round (1st pick,30th overall)",1999 NBA Draft
649,Al Cervi*,cervial01,1950,1953,G-F,5-11,170,"February 12, 1917",,0,Right,,,
650,Lionel Chalmers,chalmli01,2005,2005,G,6-0,180,"November 10, 1980",Xavier University,0,Right,Los Angeles Clippers,"2nd round (4th pick,33rd overall)",2004 NBA Draft
